,class
0,4
1,2
2,10
3,22
4,22
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,13
13,19
14,19
15,19
16,13
17,9
18,13
19,9
20,13
21,9
22,19
23,9
24,19
25,13
26,13
27,13
28,13
29,19
30,13
31,19
32,13
33,13
34,19
35,13
36,19
37,19
38,13
39,19
40,13
41,13
42,13
43,13
44,13
45,22
46,10
47,2
48,2
49,22
50,22
51,2
52,22
53,22
54,10
55,22
56,22
57,22
58,22
59,4
60,4
61,22
62,22
63,22
64,22
65,22
66,22
67,21
68,10
69,22
70,2
71,4
72,2
73,22
74,22
75,22
76,4
77,22
78,22
79,4
80,22
81,5
82,5
83,5
84,5
85,5
86,5
87,5
88,5
89,5
90,5
91,5
92,5
93,5
94,5
95,5
96,5
97,22
98,22
99,22
100,22
101,22
102,22
103,5
104,5
105,5
106,5
107,5
108,5
109,5
110,5
111,12
112,5
113,5
114,5
115,5
116,5
117,5
118,5
119,5
120,5
121,5
122,5
123,5
124,5
125,5
126,5
127,5
128,5
129,5
130,22
131,2
132,22
133,22
134,22
135,22
136,4
137,4
138,22
139,22
140,22
141,22
142,22
143,10
144,4
145,22
146,9
147,26
148,9
149,24
150,9
151,24
152,6
153,9
154,24
155,9
156,9
157,26
158,9
159,9
160,6
161,22
162,2
163,22
164,4
165,22
166,22
167,22
168,2
169,10
170,22
171,22
172,5
173,5
174,5
175,5
176,5
177,9
178,9
179,19
180,26
181,9
182,24
183,9
184,19
185,9
186,19
187,19
188,1
189,24
190,9
191,6
192,24
193,19
194,9
195,19
196,9
197,9
198,19
199,9
200,9
201,9
202,24
203,9
204,9
205,19
206,9
207,9
208,9
209,9
210,12
211,9
212,9
213,9
214,19
215,9
216,19
217,16
218,5
219,5
220,5
221,5
222,5
223,5
224,5
225,5
226,5
227,5
228,5
229,5
230,5
231,6
232,5
233,5
234,5
235,5
236,5
237,5
238,5
239,5
240,5
241,5
242,5
243,5
244,5
245,5
246,5
247,5
248,5
249,5
250,5
251,5
252,5
253,5
254,5
255,5
256,5
257,5
258,5
259,5
260,5
261,5
262,5
263,5
264,5
265,5
266,5
267,5
268,5
269,5
270,5
271,5
272,5
273,5
274,5
275,5
276,5
277,5
278,5
279,5
280,12
281,5
282,5
283,5
284,5
285,5
286,5
287,5
288,5
289,5
290,5
291,5
292,5
293,5
294,5
295,5
296,5
297,5
298,5
299,5
300,5
301,5
302,5
303,5
304,5
305,5
306,5
307,5
308,5
309,5
310,5
311,5
312,12
313,5
314,5
315,5
316,5
317,5
318,5
319,5
320,5
321,5
322,5
323,5
324,5
325,5
326,5
327,5
328,5
329,5
330,5
331,5
332,5
333,6
334,16
335,5
336,5
337,5
338,5
339,5
340,5
341,5
342,10
343,22
344,10
345,22
346,4
347,2
348,22
349,22
350,22
351,22
352,22
353,4
354,22
355,2
356,6
357,22
358,22
359,22
360,22
361,22
362,22
363,4
364,4
365,2
366,22
367,22
368,4
369,22
370,22
371,2
372,2
373,22
374,21
375,22
376,5
377,5
378,5
379,5
380,5
381,5
382,5
383,5
384,5
385,5
386,5
387,16
388,5
389,6
390,5
391,5
392,5
393,5
394,5
395,5
396,5
397,5
398,5
399,5
400,5
401,5
402,5
403,5
404,5
405,5
406,15
407,15
408,15
409,15
410,15
411,15
412,15
413,15
414,15
415,15
416,12
417,9
418,9
419,6
420,6
421,9
422,9
423,21
424,21
425,21
426,21
427,21
428,21
429,21
430,21
431,21
432,21
433,21
434,21
435,21
436,21
437,21
438,21
439,21
440,21
441,21
442,19
443,21
444,21
445,21
446,21
447,21
448,21
449,21
450,21
451,21
452,21
453,21
454,21
455,21
456,21
457,21
458,21
459,21
460,12
461,21
462,21
463,21
464,21
465,19
466,21
467,21
468,21
469,21
470,21
471,21
472,21
473,21
474,21
475,21
476,21
477,21
478,21
479,21
480,21
481,21
482,21
483,21
484,21
485,21
486,21
487,21
488,21
489,21
490,21
491,21
492,21
493,21
494,21
495,21
496,21
497,21
498,21
499,21
500,21
501,21
502,1
503,17
504,17
505,19
506,17
507,17
508,19
509,9
510,9
511,17
512,19
513,19
514,19
515,19
516,19
517,19
518,19
519,19
520,19
521,19
522,19
523,19
524,2
525,19
526,19
527,19
528,19
529,27
530,19
531,19
532,19
533,19
534,19
535,4
536,25
537,7
538,21
539,21
540,24
541,25
542,25
543,25
544,25
545,19
546,25
547,25
548,25
549,25
550,25
551,25
552,25
553,25
554,25
555,25
556,25
557,25
558,25
559,25
560,27
561,27
562,27
563,27
564,27
565,27
566,27
567,27
568,27
569,27
570,27
571,27
572,27
573,27
574,27
575,27
576,27
577,27
578,27
579,27
580,27
581,27
582,27
583,5
584,5
585,5
586,12
587,5
588,5
589,5
590,5
591,5
592,5
593,5
594,5
595,5
596,5
597,22
598,4
599,22
600,22
601,4
602,22
603,4
604,22
605,22
606,22
607,12
608,21
609,9
610,9
611,26
612,9
613,26
614,9
615,7
616,26
617,9
618,9
619,9
620,9
621,9
622,9
623,9
624,26
625,9
626,9
627,9
628,19
629,16
630,19
631,19
632,9
633,24
634,26
635,9
636,9
637,9
638,9
639,9
640,9
641,9
642,9
643,9
644,19
645,19
646,19
647,13
648,5
649,5
650,5
651,5
652,5
653,5
654,5
655,5
656,5
657,5
658,5
659,9
660,9
661,26
662,19
663,26
664,24
665,9
666,6
667,9
668,9
669,19
670,19
671,19
672,16
673,13
674,13
675,13
676,13
677,13
678,19
679,9
680,19
681,19
682,9
683,9
684,9
685,9
686,19
687,9
688,19
689,26
690,9
691,9
692,19
693,9
694,19
695,19
696,19
697,19
