Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A1-A0SF,0.38529313,0.17642543,0.78512913,0.14972146,0.63314277,0.628733,0.70929456,0.9000366,0.47426236,0.29571867,0.29916608,0.47600222,0.17763183,0.64101595,0.30422255,0.5489024,0.6315899,0.6749729,0.723594,0.6422641,0.61466897,0.72116625,0.61600745,0.50930446,0.68613243,0.6598952,0.6667979,0.66500795,0.41508383,0.8474285,0.5433395,0.7976707,0.386513,0.5422556,0.6242331,0.4350575,0.74061584,0.39886165,0.6116738,0.5592581,0.45245,0.5603061,0.7521909,0.7003688,0.15751302,0.22465229,0.28438133,0.8604892,0.8422751,0.5495496,0.3468948,0.69888073,0.36078337,0.34222865,0.66566926,0.084120244,0.44326138,0.4890723,0.6470757,0.87846875,0.5535859,0.7822336,0.63383406,0.6858108,0.5098186,0.2819028,0.4645631,0.30568296,0.4298908,0.36946368,0.501861,0.18228546,0.41264683,0.56859213,0.6936445,0.36289716,0.4399898,0.9367136,0.7466198,0.6905832,0.2025404,0.78975815,0.2230036,0.38598704,0.8664601,0.5041807,0.84207886,0.36866677,0.46411103,0.37960356,0.7160342,0.5592824,0.39179468,0.46635205,0.21582562,0.20506297,0.64895695,0.5273325,0.6017612,0.6016428
A1-A0SJ,0.09028376,0.81617934,0.7909051,0.07716822,0.27767998,0.4079003,0.24780856,0.736571,0.6770612,0.60880446,0.83412135,0.64523554,0.9309949,0.73594534,0.2625249,0.4762445,0.2937757,0.5136446,0.7632799,0.73313767,0.39902884,0.12246722,0.5376748,0.062233567,0.69343615,0.32164532,0.8546785,0.72387433,0.78061795,0.6525604,0.7144668,0.84212726,0.7047652,0.73907644,0.3866132,0.47416443,0.26223463,0.7926059,0.11128821,0.5413451,0.6115107,0.59458625,0.96173275,0.7871715,0.24317369,0.3472034,0.66290885,0.39710578,0.48372298,0.16107073,0.79063386,0.9206927,0.21924122,0.6774759,0.8791595,0.4973502,0.30732846,0.653473,0.24418946,0.7642837,0.56292677,0.73801845,0.74623716,0.16048227,0.18768364,0.7104199,0.41077614,0.14373912,0.500033,0.29353797,0.6184906,0.2728175,0.42958447,0.21637522,0.4944595,0.3055008,0.32370484,0.7497651,0.938462,0.4554743,0.16008776,0.6185784,0.6866378,0.7133479,0.5662346,0.11861354,0.4196573,0.5528345,0.29478943,0.83429086,0.31786624,0.8291149,0.26738408,0.4596715,0.85005236,0.20269805,0.71661377,0.21456596,0.2969181,0.5307932
A1-A0SK,0.93499386,0.20970887,0.056770258,0.88973737,0.15044612,0.10178658,0.9796127,0.70162976,0.5533241,0.76670086,0.09417239,0.18805116,0.87505436,0.06832402,0.20965067,0.09369804,0.93917716,0.020440916,0.3034885,0.4215915,0.11556165,0.10729631,0.59603643,0.09141043,0.96142447,0.9632844,0.5633038,0.93740606,0.8057525,0.05294086,0.95118046,0.07794532,0.18705748,0.971735,0.2881457,0.3670333,0.9223623,0.9593533,0.865274,0.93622726,0.25025314,0.95511436,0.16244349,0.15963599,0.44255552,0.7008652,0.9330939,0.15004909,0.96770835,0.37505266,0.7214718,0.07547059,0.041147783,0.5953187,0.3387819,0.023645805,0.47649908,0.1386989,0.26085672,0.84338295,0.97153866,0.1571161,0.8998726,0.13976169,0.17173758,0.51760805,0.92475885,0.94731295,0.112249434,0.0614518,0.08494556,0.25107718,0.07477512,0.33296138,0.729332,0.96409917,0.63498366,0.9709501,0.9521369,0.026964447,0.9381545,0.9331371,0.96532094,0.08597541,0.90422356,0.94483864,0.34198412,0.92715794,0.96491253,0.8991202,0.1253578,0.10143493,0.24853197,0.48786497,0.9043125,0.06313901,0.81446624,0.20707214,0.062891856,0.946914
A1-A0SO,0.9254571,0.21209073,0.057120625,0.9201549,0.22682053,0.08626635,0.8768815,0.90852654,0.7576318,0.9718729,0.07620843,0.7119645,0.36997545,0.67716724,0.07744424,0.35053876,0.5571086,0.30703545,0.35150874,0.8064859,0.089942046,0.46227825,0.23789066,0.22006279,0.83479816,0.9219667,0.11449164,0.2799623,0.08790173,0.2864919,0.85666996,0.20391466,0.7769818,0.6565635,0.08981202,0.85780936,0.07330544,0.9554393,0.47051144,0.43805256,0.30112326,0.7607136,0.85309696,0.07053155,0.88230354,0.5698116,0.9125066,0.2409281,0.4772255,0.12585916,0.1274302,0.28910786,0.85592854,0.48809046,0.3961451,0.760566,0.55113375,0.14900047,0.24369195,0.41547987,0.9090543,0.120542556,0.6885603,0.27293718,0.513623,0.96223223,0.3791145,0.85962874,0.5117133,0.2327899,0.16320422,0.2562231,0.13184495,0.28120217,0.72837937,0.43098944,0.8539879,0.8560185,0.657944,0.10964223,0.9495939,0.93641716,0.8659586,0.15062004,0.912182,0.8859686,0.18981095,0.82035613,0.901021,0.5243737,0.9418024,0.1337734,0.36507052,0.4795982,0.7275684,0.36050892,0.5568615,0.96067274,0.29176217,0.7395532
A1-A0SQ,0.17852463,0.86883175,0.877755,0.12514675,0.5460718,0.37055498,0.11287281,0.72442955,0.9691505,0.38207325,0.37076464,0.7381035,0.37483662,0.738008,0.4298396,0.15289712,0.21728444,0.3816871,0.39190736,0.5419525,0.28212065,0.5776878,0.5297294,0.04952599,0.90800583,0.5884963,0.44491076,0.82829654,0.7313658,0.8075511,0.9555576,0.8832061,0.70170873,0.7461728,0.7157734,0.5567474,0.14614512,0.54610986,0.37711847,0.31089008,0.07673629,0.66727823,0.60417145,0.41737977,0.1952163,0.20749578,0.4756171,0.5005712,0.38538212,0.11140317,0.39314383,0.19846088,0.27915633,0.46120828,0.76661587,0.43121848,0.7386862,0.20185392,0.68525004,0.46361274,0.9189458,0.30774382,0.7815498,0.17753467,0.42892444,0.862056,0.1519193,0.10068487,0.67468524,0.90268934,0.94653726,0.21979085,0.40894794,0.8154203,0.8641956,0.33269966,0.1597579,0.83001953,0.8494468,0.82946444,0.40321094,0.56452435,0.5121285,0.7279397,0.199608,0.58675563,0.88417673,0.6193954,0.77659845,0.50996923,0.4984094,0.79293394,0.25079918,0.26757413,0.3482139,0.22797807,0.88329846,0.22700512,0.599734,0.14451772
A2-A04N,0.6931497,0.37450212,0.55426425,0.51709914,0.20330393,0.6900155,0.76662403,0.19736025,0.14639966,0.47818527,0.7957929,0.10883911,0.3894651,0.6967557,0.52245724,0.6792758,0.7700089,0.18069948,0.58869153,0.741952,0.71309453,0.8103758,0.5447421,0.8868576,0.40440562,0.5474904,0.8521936,0.8802494,0.46978217,0.48904604,0.19794983,0.54831403,0.179074,0.27549928,0.6446215,0.3212625,0.91177243,0.8295858,0.6705595,0.610148,0.46953267,0.74235225,0.8283837,0.6690682,0.28574592,0.73635113,0.148946,0.29764208,0.87862825,0.53992987,0.79529834,0.86057115,0.6301369,0.8216152,0.4896277,0.3287519,0.24815455,0.5831895,0.59719074,0.7441661,0.54482543,0.79886377,0.60601634,0.4882087,0.46343276,0.13631772,0.7908692,0.65643483,0.7114602,0.24386686,0.46853584,0.33903456,0.16210897,0.48439994,0.38387617,0.21363682,0.65390754,0.7012605,0.74319816,0.65659666,0.20951182,0.48772272,0.8074931,0.40786216,0.43634248,0.24936165,0.6575153,0.13377526,0.5193802,0.43591148,0.5219044,0.5190408,0.6421173,0.4499905,0.16214243,0.15396838,0.8927065,0.4940696,0.7719512,0.48816818
A2-A04P,0.36076966,0.5137447,0.7129772,0.4416067,0.78363025,0.40101966,0.6443219,0.8934667,0.05936561,0.33374235,0.44249204,0.8838592,0.5651622,0.65891474,0.07808566,0.3716906,0.6489355,0.71764433,0.17738761,0.17642395,0.82789236,0.05489937,0.16545364,0.30663222,0.5861756,0.5789909,0.74947935,0.30941898,0.097625315,0.35426325,0.7458042,0.23648107,0.30064613,0.11262868,0.6370549,0.052155904,0.46777344,0.34373719,0.94175965,0.93709683,0.10923259,0.63516605,0.19141492,0.66695845,0.4129697,0.8791231,0.30916727,0.82513154,0.08250737,0.9616225,0.11500031,0.5585584,0.8220715,0.4124561,0.5091261,0.5020073,0.11671941,0.231877,0.52804756,0.8604795,0.75622416,0.16058649,0.1754792,0.9014166,0.663498,0.75183785,0.10532303,0.8916873,0.3622002,0.12702522,0.21575266,0.67673695,0.56223446,0.10218533,0.89811724,0.13303162,0.44768423,0.32960862,0.14477114,0.93418837,0.3210112,0.59514475,0.77304006,0.33210438,0.8999772,0.64008856,0.95274675,0.43778694,0.6755092,0.9273387,0.9505098,0.63583326,0.35847217,0.43086225,0.44494364,0.11822335,0.48713896,0.9238236,0.1407298,0.9631336
A2-A04Q,0.8786445,0.82932496,0.76300555,0.7537434,0.7476866,0.82855237,0.63261414,0.69500613,0.81449497,0.18774015,0.60683346,0.7533518,0.66327745,0.3219484,0.10890314,0.85904884,0.7033922,0.41778648,0.4884326,0.48771024,0.8862289,0.37175328,0.8724659,0.82994306,0.4532212,0.4337284,0.19526285,0.09522174,0.33650878,0.7242614,0.8088868,0.34867588,0.25992078,0.5224899,0.68793106,0.14416441,0.2572051,0.13754296,0.3802821,0.10760125,0.11912322,0.34274143,0.34596008,0.5029988,0.25422248,0.8155595,0.42220894,0.83750755,0.6208338,0.72175336,0.22355261,0.6743087,0.61581683,0.14383863,0.43831083,0.5141148,0.15370114,0.3616191,0.22593012,0.5889749,0.56918275,0.89683276,0.542984,0.8938395,0.22797538,0.5990852,0.4751392,0.3588874,0.22364505,0.41253832,0.19346404,0.41230467,0.91347134,0.7671186,0.7360077,0.26461953,0.59340775,0.42439377,0.35209483,0.7361206,0.37263674,0.31736618,0.48631707,0.3200649,0.8512404,0.15674055,0.8667044,0.5978005,0.17123151,0.80109686,0.8668901,0.379357,0.734497,0.8700526,0.61500674,0.88381374,0.6009762,0.5262064,0.5307751,0.8320327
A2-A04T,0.7764922,0.41384667,0.2152224,0.6974645,0.16078566,0.30220434,0.8908515,0.5606096,0.94846064,0.81499535,0.086210534,0.36783326,0.8785417,0.3065287,0.09142085,0.82847434,0.7869271,0.35514653,0.42030212,0.5244016,0.23922996,0.46185905,0.25860435,0.80599153,0.8087953,0.5652435,0.25587812,0.1908191,0.6387578,0.4516718,0.6447251,0.2722416,0.1702799,0.63927305,0.30227163,0.1351872,0.4848848,0.6574621,0.67859787,0.8225397,0.20400208,0.34548908,0.2948195,0.1298002,0.8266853,0.7045812,0.8737123,0.7797545,0.2933963,0.759264,0.36950785,0.6097246,0.86115587,0.5392926,0.54602677,0.6817825,0.28689858,0.27581784,0.30310532,0.7864755,0.8002473,0.27374282,0.28320098,0.07607123,0.6219317,0.7933226,0.7981551,0.4519985,0.21470678,0.095291406,0.36380643,0.21379647,0.34217468,0.68569994,0.866285,0.34796202,0.66459686,0.63300145,0.2557255,0.594982,0.8011257,0.5016835,0.79878926,0.21863493,0.64080864,0.80482227,0.67140245,0.6711781,0.39198518,0.8269409,0.62081724,0.263719,0.58035016,0.46570504,0.9297935,0.17975873,0.19302696,0.7018966,0.2405349,0.82067245
A2-A04W,0.33047035,0.54839325,0.37805748,0.29711378,0.6168744,0.31825566,0.4062038,0.23063356,0.060441677,0.09209058,0.6249472,0.29400805,0.6219088,0.86269045,0.52203363,0.34361684,0.19859731,0.8048382,0.19568819,0.23816419,0.82210994,0.25152463,0.36584646,0.40696397,0.94284093,0.9216395,0.4595893,0.6716272,0.26875597,0.079373606,0.5212667,0.51449573,0.21104825,0.08229837,0.93222666,0.19231826,0.5069686,0.594197,0.8670591,0.80170155,0.6607702,0.8326021,0.6631118,0.15056555,0.945029,0.5618575,0.4618528,0.69451827,0.3691853,0.66756284,0.80072343,0.6366741,0.18414193,0.7613976,0.60298324,0.6929467,0.7800584,0.6446575,0.39605805,0.3376674,0.4722637,0.6495952,0.35828507,0.44157195,0.5380348,0.18372758,0.21220826,0.32821262,0.15402433,0.459993,0.932839,0.31213462,0.4279739,0.69109124,0.6897945,0.95802855,0.9070713,0.24789982,0.5118909,0.88187885,0.08761233,0.72308415,0.93591475,0.68818545,0.78729856,0.12136689,0.5566832,0.51525617,0.32286787,0.3903725,0.85971105,0.6027251,0.5592957,0.27119187,0.3127591,0.08404943,0.9142207,0.23366602,0.306326,0.77805215
