Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.49895754,0.37242398,0.47164232,0.39240646,0.424298,0.4825522,0.5480678,0.46820575,0.543838,0.53573585,0.5302398,0.49833757,0.57091117,0.52244854,0.5832007,0.4237454,0.62436855,0.3853598,0.5938742,0.46254423,0.43560213,0.5917332,0.64137524,0.4614461,0.5296998,0.42179358,0.46188164,0.5900297,0.4856944,0.5360652,0.46257263,0.5008347,0.47618496,0.46307507,0.44412065,0.49048936,0.43436933,0.5110936,0.4334501,0.4654412,0.51458055,0.54683936,0.612334,0.58538824,0.42484403,0.52938735,0.48740876,0.46654192,0.41609937,0.48236984,0.5672631,0.4831178,0.411197,0.5606382,0.3779435,0.52135575,0.5926039,0.62372166,0.5080992,0.61110675,0.516398,0.50953555,0.6342622,0.4450494,0.49811655,0.47198832,0.42868298,0.4266144,0.3962751,0.42613792,0.50808924,0.5823853,0.42725664,0.42724913,0.46429306,0.5923599,0.42200777,0.5982648,0.47436923,0.45398432,0.43626672,0.6196591,0.43124235,0.5620953,0.47356996,0.47213846,0.37177658,0.5389487,0.54766,0.40785784,0.5484592,0.53680885,0.5167271,0.60411614,0.5536796,0.46688932,0.4758359,0.5567627,0.7048582,0.47938603
1,0.43148804,0.6527381,0.41238812,0.53685415,0.5053839,0.42605743,0.38322088,0.58343345,0.58149266,0.40168536,0.46331638,0.4610494,0.44586885,0.35203576,0.5206106,0.5407714,0.33073652,0.56336915,0.4307639,0.5999912,0.5928333,0.41018933,0.3087358,0.5324755,0.5414695,0.493673,0.52105194,0.4853804,0.5661949,0.3209221,0.41917056,0.4881084,0.6370578,0.5069194,0.4825617,0.57352895,0.54207027,0.6120064,0.5136006,0.4524659,0.5279861,0.41091305,0.3768696,0.3289429,0.61917984,0.41492856,0.49453735,0.50188273,0.48010328,0.58311653,0.4936757,0.44535485,0.54699373,0.3988639,0.6258302,0.548782,0.3297246,0.49046522,0.6034392,0.531579,0.4650883,0.44586605,0.579988,0.5915607,0.5037173,0.5995765,0.42662412,0.44485322,0.55440795,0.4733444,0.43562007,0.3872801,0.55594444,0.50591964,0.51141125,0.39822808,0.51515615,0.30667484,0.47066304,0.36238712,0.47600535,0.5470842,0.6158086,0.36026722,0.48688763,0.45748484,0.54700863,0.46068877,0.38588786,0.50034475,0.5173588,0.56069195,0.4705784,0.2697975,0.38793862,0.6102768,0.45953172,0.38101965,0.33284694,0.5579599
2,0.4904253,0.5262779,0.4569328,0.47221747,0.55076754,0.5387475,0.41707462,0.43063256,0.62618583,0.41101664,0.46514994,0.48741323,0.4637212,0.41908896,0.38129455,0.52707946,0.3254221,0.42029938,0.44010454,0.6101543,0.60271025,0.44073865,0.441244,0.5577013,0.51243854,0.56229365,0.53591835,0.4957794,0.47479916,0.44162446,0.47200906,0.4558878,0.6238456,0.46432683,0.5710299,0.61131316,0.53165793,0.57848364,0.58758235,0.3073048,0.39291131,0.49001092,0.44611257,0.5196738,0.46360022,0.50009537,0.62556136,0.5028361,0.47808287,0.5538946,0.48653802,0.47415426,0.52565527,0.4088531,0.5637378,0.49431998,0.40649903,0.47382253,0.5527549,0.4323203,0.47719634,0.521798,0.52616334,0.57970417,0.49044323,0.574083,0.5303497,0.5972246,0.5150397,0.52678096,0.48101193,0.44397315,0.48147744,0.45273608,0.45868725,0.4561062,0.5760445,0.38719967,0.4912994,0.43368292,0.58848095,0.54330397,0.5018731,0.415062,0.46804678,0.50540483,0.560343,0.4544329,0.49025476,0.5992272,0.60544664,0.503142,0.5418572,0.3745399,0.5099721,0.5454023,0.5147922,0.4282503,0.413044,0.48821706
3,0.49914634,0.43259346,0.5686195,0.39692825,0.5346629,0.36732525,0.5962963,0.39358032,0.2882979,0.53430533,0.4750131,0.44426236,0.531595,0.4786271,0.44852233,0.51426536,0.5735798,0.6078638,0.40513834,0.6069635,0.35246235,0.33063138,0.4527732,0.353554,0.41711867,0.505545,0.41038433,0.3726355,0.31822702,0.5653349,0.6579282,0.38420957,0.3647802,0.40884793,0.4707178,0.43255675,0.49197403,0.63814497,0.5003415,0.4384774,0.65942013,0.4294287,0.45313922,0.553756,0.4832406,0.4703498,0.5723001,0.54129773,0.41284388,0.29080772,0.42260876,0.46343735,0.47318643,0.46812338,0.4720364,0.34552246,0.45979112,0.5016739,0.58660364,0.48968732,0.5332168,0.37129724,0.54742074,0.45704535,0.35806775,0.41682684,0.56415284,0.56301135,0.34305093,0.5635665,0.5133069,0.45626956,0.35796124,0.43165892,0.4041286,0.55992836,0.50139576,0.5407382,0.40287113,0.42750204,0.5818987,0.5461867,0.34796673,0.54707056,0.40581506,0.5285432,0.47830415,0.42525986,0.507072,0.46893054,0.36093515,0.40178555,0.46035177,0.50607127,0.5572442,0.432602,0.703498,0.55289316,0.4442774,0.4864276
4,0.45691174,0.4175349,0.5347479,0.44530493,0.45194,0.5697069,0.62989163,0.51424855,0.42400473,0.5008042,0.53906906,0.43121362,0.5446546,0.62158656,0.52257717,0.45949894,0.62443554,0.44433838,0.5596287,0.44050443,0.44321316,0.56869936,0.61436266,0.44312012,0.51444525,0.44834942,0.41023794,0.5112078,0.54225004,0.54506147,0.5394062,0.5636,0.467479,0.5085105,0.48563242,0.40213507,0.44933218,0.46932667,0.46650916,0.38937432,0.5090332,0.4711597,0.64897704,0.5265759,0.42591882,0.53797555,0.5151025,0.48704535,0.51986074,0.43276328,0.4747826,0.4903322,0.51238674,0.50460887,0.40942043,0.55348575,0.57059073,0.60017157,0.4253106,0.58206624,0.5217592,0.5159352,0.526921,0.399926,0.5056113,0.48936993,0.4007805,0.46667147,0.47724864,0.44275635,0.4691609,0.6240073,0.4411977,0.46564597,0.4542638,0.58775556,0.40955037,0.62075484,0.45602006,0.46220857,0.4283475,0.5587243,0.48597395,0.5785898,0.54807305,0.37672615,0.3122675,0.55094516,0.52848405,0.45743483,0.49373633,0.5344077,0.45505315,0.5989975,0.6053365,0.50349206,0.5528535,0.54418004,0.6837245,0.538106
5,0.47249198,0.5733966,0.36561358,0.557168,0.47356242,0.4987108,0.40582132,0.61169267,0.4707164,0.40497488,0.45252955,0.5196314,0.43929243,0.4479304,0.5033115,0.5863974,0.3165118,0.48448515,0.37925893,0.46956465,0.5588342,0.38779706,0.3265366,0.54469687,0.5479867,0.42489985,0.43949342,0.47115576,0.5175574,0.2947703,0.48507565,0.3820172,0.55059636,0.5603727,0.43892896,0.56129384,0.49731588,0.44800505,0.5063596,0.38444722,0.35333124,0.37969846,0.36798665,0.36715457,0.5254126,0.46906704,0.48987746,0.51793754,0.51281327,0.4825335,0.42392367,0.46216306,0.46500987,0.38396794,0.51345044,0.5231645,0.37798342,0.41615167,0.49244124,0.4523635,0.45503289,0.38112673,0.56491166,0.49022275,0.53861433,0.5609871,0.49756214,0.4248613,0.56029284,0.50367326,0.42939335,0.41069448,0.4578787,0.52684885,0.48616326,0.47696245,0.4911356,0.34723377,0.5214819,0.39390257,0.48796502,0.49684978,0.5964875,0.36561453,0.41062343,0.4216401,0.598094,0.39174822,0.39611495,0.44020796,0.44654533,0.51540816,0.41864777,0.43461266,0.42548102,0.53485024,0.4195221,0.3974672,0.43827802,0.5928429
6,0.44402444,0.54284763,0.46470433,0.51132697,0.469606,0.41755742,0.3824326,0.5326021,0.53853226,0.43490294,0.46367735,0.45995635,0.4067865,0.3656571,0.43417722,0.5698298,0.35762072,0.4829452,0.41459823,0.5152746,0.58625567,0.40536788,0.3481985,0.4979731,0.4960088,0.43147567,0.50440484,0.41501862,0.51192963,0.32213396,0.4583805,0.40361428,0.5659832,0.57127523,0.4142894,0.5993686,0.4867309,0.46154976,0.525617,0.4474942,0.311663,0.41424605,0.35563612,0.4511234,0.5544857,0.4355893,0.42793223,0.52632976,0.42615724,0.52566576,0.49710178,0.52360696,0.47541714,0.40548915,0.556221,0.47295916,0.3829924,0.44279373,0.5867973,0.43537894,0.3372782,0.38581732,0.54614216,0.5609292,0.56021416,0.47296017,0.43968976,0.4385161,0.5250344,0.5039617,0.45444912,0.41912287,0.47200495,0.4970776,0.37486896,0.45873323,0.5209901,0.36146623,0.4586967,0.38225245,0.44774923,0.5359955,0.6161443,0.3652721,0.52318573,0.42606294,0.5241001,0.41493484,0.35088223,0.43911543,0.5379758,0.477844,0.44496205,0.38949132,0.4543693,0.5256982,0.40111357,0.4305451,0.4788506,0.5071446
7,0.3618068,0.599669,0.679909,0.42333287,0.39916557,0.36451626,0.45495635,0.44552016,0.21005517,0.5511819,0.3064896,0.3508857,0.48716837,0.3059311,0.25999078,0.62314785,0.6680306,0.58176875,0.32279944,0.56813776,0.24972303,0.28898486,0.3789523,0.3234428,0.37168604,0.5155151,0.3913358,0.3619109,0.43171597,0.4197731,0.6009595,0.3454023,0.2816267,0.45923132,0.70645154,0.30892915,0.47627136,0.65823776,0.4269438,0.75563365,0.6195787,0.40579745,0.49810123,0.59045964,0.502724,0.4421652,0.35062867,0.4396368,0.3213597,0.4653117,0.4819063,0.35794476,0.3722718,0.55119383,0.68334883,0.26880005,0.27223712,0.48892146,0.4480557,0.30196083,0.36938846,0.40412152,0.3679415,0.34454593,0.31178105,0.3638107,0.55274826,0.5704365,0.33121464,0.5700481,0.6254444,0.34947982,0.4779284,0.6227043,0.40002698,0.5537388,0.3622796,0.42795324,0.4663807,0.5604245,0.30703092,0.27509075,0.38922083,0.5479456,0.3376938,0.7119433,0.51873255,0.28955942,0.55254316,0.29702988,0.32676685,0.3991662,0.6480166,0.6852046,0.41468948,0.43965346,0.6613046,0.6408793,0.3340931,0.3970886
8,0.5041529,0.56445545,0.5842249,0.5686159,0.65730476,0.48453856,0.6964612,0.56052923,0.47264135,0.5749566,0.59717655,0.6248511,0.60985273,0.6605149,0.5977587,0.36109442,0.6810359,0.53159505,0.6217357,0.33862072,0.46679568,0.6964498,0.65309393,0.44484484,0.6046716,0.52271223,0.5577581,0.5005878,0.4257704,0.6877443,0.65112185,0.5841731,0.46731436,0.5804622,0.532211,0.46756667,0.5084183,0.41858727,0.46866518,0.5883214,0.6020853,0.50924474,0.64764833,0.601606,0.5273348,0.55870605,0.47835565,0.6264589,0.5595647,0.466846,0.6361791,0.58099127,0.5448995,0.50408256,0.3213086,0.59396154,0.66651833,0.7432298,0.4257155,0.62528896,0.5708896,0.63056624,0.41894907,0.63583195,0.6086753,0.4248712,0.6484768,0.46041387,0.49477005,0.49749678,0.4554145,0.55112445,0.5993811,0.55773443,0.50477207,0.67340255,0.4467333,0.7655718,0.52150416,0.49510497,0.48618728,0.5377443,0.61292887,0.6719678,0.5991659,0.53116584,0.39979684,0.6045068,0.4887117,0.5611233,0.4553529,0.5273607,0.4194241,0.7191677,0.5476516,0.43911514,0.51122725,0.61535674,0.6740463,0.5549897
9,0.44462457,0.4452572,0.47697976,0.45538706,0.53822947,0.57662,0.37725294,0.38169834,0.5836216,0.4480732,0.41454723,0.6010272,0.575489,0.43429524,0.37301704,0.5189497,0.48958296,0.3602279,0.44287503,0.508109,0.44319677,0.46494064,0.49369925,0.535556,0.43066883,0.613477,0.680522,0.42379332,0.5131271,0.56690717,0.47331384,0.50038415,0.5464015,0.4623611,0.5015832,0.53377646,0.4258297,0.26105952,0.5261015,0.47466165,0.2757041,0.58197874,0.40064424,0.55905336,0.4232982,0.51391697,0.591879,0.3541767,0.47899067,0.5559514,0.42211998,0.61549616,0.3480516,0.44488034,0.33604753,0.41969076,0.63094044,0.2686084,0.40133598,0.2688665,0.36317968,0.5573892,0.24552576,0.63290894,0.4165867,0.3513518,0.51001865,0.566954,0.6805132,0.467941,0.38392624,0.42050937,0.47667778,0.41530013,0.4269119,0.37058106,0.5955777,0.41855842,0.52841747,0.6039891,0.45706254,0.33592814,0.5185503,0.35236812,0.48034573,0.5610318,0.5153503,0.3989938,0.34247947,0.65095353,0.45138997,0.4110515,0.58347833,0.40971446,0.37146506,0.42075148,0.39590624,0.41780776,0.528448,0.43396395
