Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.4357928,0.48063898,0.38083524,0.36435068,0.26433876,0.298583,0.4007113,0.48044077,0.39485735,0.47580904,0.36059368,0.32126123,0.5230057,0.36805645,0.5630202,0.36319894,0.34612083,0.39536065,0.44376737,0.37853935,0.4603618,0.2926809,0.46510094,0.414491,0.34124482,0.300286,0.32924998,0.34816787,0.40147242,0.27303272,0.36126626,0.47406417,0.3986564,0.5262035,0.46900177,0.26165122,0.3236353,0.3120945,0.43011433,0.34595796,0.33980167,0.36898643,0.35895485,0.36461487,0.53706574,0.3914847,0.29115218,0.35358858,0.30941892,0.3423865,0.33817536,0.45535886,0.5557784,0.48505569,0.4776643,0.40636113,0.30576336,0.51864934,0.4155302,0.43006843,0.27336484,0.37715626,0.35711652,0.37379318,0.3279314,0.43598676,0.5564359,0.34916788,0.514933,0.36211467,0.42024475,0.30734777,0.42653483,0.3754998,0.40631616,0.40073875,0.42257547,0.37892693,0.5658232,0.47776496,0.2789328,0.49068666,0.43003854,0.381103,0.43179417,0.30239815,0.2994361,0.35219204,0.43791527,0.42476267,0.3380733,0.3335448,0.5029501,0.3154546,0.37173176,0.30935,0.3992345,0.41596162,0.38355178,0.31653154
1,0.4366494,0.47046345,0.63571835,0.610835,0.6039655,0.48885962,0.5846995,0.5481555,0.5249046,0.364366,0.39897877,0.3094837,0.51675606,0.40587968,0.549596,0.38765904,0.52705604,0.55452,0.45600718,0.49517393,0.4961998,0.52738625,0.469038,0.52357364,0.564613,0.41025066,0.40803134,0.7124628,0.4623251,0.5335415,0.43539,0.4899823,0.57146716,0.42032695,0.54409826,0.5283524,0.4369892,0.5014706,0.41734213,0.2878951,0.5474282,0.41459727,0.61568886,0.5340812,0.39568257,0.5491677,0.42405397,0.63790834,0.44009966,0.42309058,0.51407415,0.5995577,0.41132075,0.386311,0.49133515,0.50492084,0.49167484,0.4645959,0.44288996,0.5133351,0.5870455,0.5030052,0.539185,0.50547993,0.47509915,0.42078602,0.35872373,0.5365172,0.42157087,0.4596093,0.37904054,0.63609874,0.40678382,0.45443022,0.5163226,0.53817356,0.44978455,0.519637,0.43388778,0.5234364,0.56314415,0.47452283,0.36566353,0.47068238,0.3477617,0.60218984,0.5320165,0.45037472,0.41500968,0.41750115,0.57469046,0.39455605,0.45025223,0.5089705,0.44906676,0.50224394,0.5118423,0.42936468,0.5183707,0.5414954
2,0.343377,0.43244806,0.57505095,0.44770086,0.5597366,0.5223979,0.5448776,0.51629615,0.56529987,0.35675436,0.4091739,0.46067584,0.41997135,0.5194967,0.5412523,0.46318865,0.639061,0.50031626,0.37906826,0.46141732,0.4300419,0.58423555,0.41253722,0.5297195,0.5629308,0.5040319,0.4554258,0.5468944,0.48310408,0.6159955,0.51048505,0.554215,0.62231505,0.41502827,0.39942175,0.5166216,0.4848919,0.52809334,0.4623463,0.43633544,0.4870349,0.44408572,0.5599646,0.5189563,0.41168362,0.50397676,0.45187333,0.67041963,0.5950401,0.4914759,0.47936678,0.5088184,0.52147996,0.43572623,0.41356683,0.610059,0.4921977,0.55777705,0.5177758,0.6034243,0.62475026,0.458884,0.57113945,0.51897746,0.4678888,0.3897072,0.3840165,0.47198835,0.41314209,0.4314553,0.38617963,0.54682386,0.4002539,0.4219683,0.50749314,0.50351524,0.49732396,0.57683754,0.42606997,0.50173104,0.62198734,0.42088705,0.41374135,0.5219244,0.32711792,0.57135284,0.60883975,0.417381,0.41989768,0.5043081,0.51195717,0.3853956,0.4487691,0.5758914,0.48712873,0.5067798,0.42043,0.49849522,0.47611105,0.59825903
3,0.44357094,0.51412046,0.5255115,0.53908545,0.53671503,0.539752,0.54126126,0.5017582,0.4446244,0.3743924,0.5119523,0.46185237,0.4989342,0.51468194,0.4994877,0.47045916,0.48943633,0.4554368,0.4411137,0.5566395,0.45580798,0.5134978,0.540179,0.47619224,0.51157117,0.51661503,0.38616407,0.5541524,0.44173837,0.49357396,0.5182093,0.52726585,0.52144325,0.4470353,0.4834391,0.44869825,0.48351395,0.48081398,0.42371467,0.43807822,0.55508864,0.47421455,0.5388458,0.5461278,0.44840097,0.5241647,0.45536965,0.5569978,0.4924161,0.50677514,0.46162698,0.48804623,0.432414,0.4921291,0.54271233,0.5135558,0.50151193,0.4894263,0.48257574,0.54092157,0.52416766,0.46262866,0.56425637,0.426474,0.49955413,0.48132527,0.401425,0.48593706,0.44250643,0.50948244,0.49838287,0.56295943,0.461586,0.48999488,0.4667738,0.5736023,0.46777055,0.49898067,0.46256125,0.52144694,0.47148082,0.45070055,0.42823297,0.50244075,0.45849591,0.50469816,0.5353564,0.512058,0.43542528,0.45627654,0.5262728,0.5103455,0.540465,0.49245587,0.490692,0.55161405,0.49242082,0.50812006,0.5183996,0.49918187
4,0.3049277,0.45938995,0.5621418,0.51921946,0.5158783,0.5577729,0.60564065,0.63127244,0.58101356,0.37084258,0.37099546,0.48872665,0.52862644,0.5575525,0.62088954,0.5187983,0.6382532,0.50862515,0.45332655,0.45905405,0.43245435,0.58605134,0.49168026,0.5506853,0.59044254,0.6084684,0.45025057,0.56473637,0.53989667,0.6415334,0.61223316,0.694497,0.73985577,0.38348883,0.3283105,0.53831434,0.5527013,0.5915668,0.44772905,0.46795818,0.5183281,0.40078413,0.68664944,0.6360259,0.5041175,0.61311483,0.46976283,0.6547215,0.6811825,0.53631544,0.54108715,0.47981548,0.60587716,0.5334171,0.51508605,0.7523047,0.46185428,0.6454345,0.5519372,0.7023059,0.56961,0.47551346,0.5718123,0.5510573,0.5303552,0.45500532,0.4034152,0.48595303,0.43418902,0.4299481,0.42760858,0.5925225,0.44832444,0.4482234,0.55243814,0.5724955,0.5381072,0.69634366,0.45735872,0.57468474,0.66347814,0.44782984,0.4662301,0.5768109,0.36176422,0.5630868,0.6903063,0.39374214,0.46317834,0.6152021,0.5565368,0.43503827,0.53207827,0.66043067,0.5604287,0.5681119,0.4835483,0.6016878,0.5308025,0.53963816
5,0.4184974,0.40186417,0.2540146,0.47860512,0.29214227,0.29900712,0.44925928,0.44033414,0.24061576,0.45702076,0.3532995,0.30419043,0.39891887,0.3121146,0.35478416,0.37872612,0.2789427,0.30824304,0.4994108,0.37255916,0.43033674,0.29984838,0.55946016,0.43589854,0.40591013,0.41726285,0.25461417,0.3911121,0.25491276,0.35437244,0.345091,0.5051377,0.5177351,0.4342996,0.4248286,0.3951617,0.3870262,0.31967503,0.28487957,0.44309178,0.37689295,0.36398923,0.3458148,0.4553886,0.5523789,0.50030226,0.32652497,0.2864284,0.3399222,0.33069372,0.44121575,0.4508658,0.44631535,0.4603278,0.5074074,0.48672077,0.26330855,0.46808627,0.38867158,0.35674712,0.20140983,0.41519928,0.34514734,0.39742246,0.27129543,0.44389364,0.6063986,0.4156293,0.35270184,0.44669008,0.43427998,0.3276224,0.41576415,0.29778534,0.36969566,0.3852697,0.4263251,0.42303547,0.5877087,0.42539328,0.30040672,0.5947061,0.42333925,0.4472295,0.44634533,0.34491536,0.4232332,0.3393383,0.49137503,0.3782767,0.3703176,0.30186722,0.53195274,0.4960227,0.33109444,0.24158846,0.4108916,0.4484945,0.43998575,0.22513829
6,0.64371705,0.525084,0.48153073,0.4374274,0.34685305,0.30910093,0.5487615,0.4685723,0.49580553,0.6682595,0.53564286,0.56467605,0.4401921,0.5556286,0.48177168,0.5634135,0.35263735,0.3831547,0.5025361,0.5022938,0.61578536,0.4806549,0.47861493,0.4963336,0.31245065,0.33869842,0.5018977,0.23865338,0.49358407,0.47359467,0.45870653,0.5371516,0.3492837,0.608692,0.5433167,0.51072943,0.48511428,0.39118618,0.53632367,0.5886439,0.36722314,0.48976377,0.38946998,0.4557938,0.43698636,0.44920248,0.46429503,0.29578644,0.42807496,0.44614905,0.4263242,0.49883384,0.6158644,0.651677,0.4488573,0.4428379,0.5100661,0.44157085,0.43850768,0.4174573,0.38335943,0.52434975,0.24345353,0.41719693,0.3237012,0.5188205,0.71444005,0.31118003,0.50547147,0.4373476,0.55898005,0.3430673,0.52854306,0.4371762,0.5373907,0.33846948,0.56489205,0.44897282,0.57901144,0.48653743,0.33367193,0.50553495,0.67721564,0.50327677,0.6002265,0.4291359,0.42499816,0.41953188,0.5315342,0.48202696,0.38880575,0.47975844,0.43736053,0.49936318,0.36076033,0.26566434,0.41975406,0.46606928,0.46776223,0.38800666
7,0.45957243,0.44303778,0.38730386,0.3691244,0.38563535,0.40983155,0.48574954,0.500062,0.46821517,0.6477945,0.40517217,0.41700184,0.4701556,0.38520908,0.48089355,0.43244022,0.4430561,0.41664618,0.50469637,0.31158915,0.44860595,0.3887818,0.4979539,0.40029025,0.44118005,0.46394375,0.35237962,0.41023535,0.38295937,0.37333217,0.47636294,0.49927297,0.43732774,0.5197874,0.4430575,0.43651715,0.52868676,0.39541924,0.39759514,0.53862995,0.41706744,0.42608726,0.37731844,0.38696945,0.58325905,0.5765958,0.40563577,0.38100854,0.49275732,0.44610855,0.38901561,0.44086084,0.6461441,0.5674137,0.5401656,0.4530598,0.3236422,0.5667406,0.39202055,0.47930413,0.22259203,0.46115237,0.43703267,0.49308157,0.45021674,0.5409434,0.6389749,0.5810363,0.52029073,0.46230885,0.48768064,0.36777303,0.5463076,0.48260966,0.37157083,0.35102624,0.5220268,0.4705462,0.67739224,0.45652962,0.44874394,0.6286416,0.50461817,0.5532531,0.5094975,0.40293187,0.3689155,0.4079569,0.5568024,0.44093296,0.35664988,0.3357104,0.51070017,0.4046045,0.43670425,0.40300104,0.4411542,0.5269082,0.48630285,0.34415606
8,0.5353476,0.45298347,0.3887484,0.42486212,0.33762205,0.24829665,0.4607355,0.5590982,0.5000915,0.70746374,0.55491245,0.4866222,0.5649743,0.41509572,0.54770654,0.48616257,0.35440737,0.37657797,0.45391163,0.42633212,0.61176145,0.31457347,0.45139796,0.41994524,0.3743596,0.3366948,0.4702561,0.31443912,0.44162518,0.36727667,0.38582423,0.5717151,0.31756783,0.5431278,0.5835433,0.41013956,0.45901835,0.3198226,0.4932777,0.46752876,0.39377344,0.39961314,0.32661384,0.444711,0.5550787,0.39813042,0.3047101,0.30635393,0.3311864,0.42782834,0.40570426,0.61969244,0.5764036,0.6020107,0.41689986,0.37695456,0.40867817,0.5633801,0.42466986,0.41615558,0.26816255,0.44819632,0.24599506,0.5141756,0.35577255,0.542163,0.73230815,0.40191537,0.5716485,0.3267665,0.48285043,0.34687334,0.5659466,0.38473433,0.5612567,0.31271777,0.50173867,0.42507884,0.6150651,0.42293006,0.33805326,0.6181812,0.5791034,0.44222105,0.54989266,0.48792973,0.38598332,0.3528249,0.49221957,0.44381064,0.3875258,0.3551035,0.3981107,0.4447444,0.3393014,0.36253306,0.41783172,0.3950969,0.3947558,0.3315764
9,0.55680007,0.5998877,0.5011693,0.61759627,0.5204991,0.47217655,0.49921602,0.55785966,0.49662304,0.57374567,0.629948,0.517971,0.57672524,0.51037157,0.45591486,0.51015836,0.4486143,0.50243723,0.49195373,0.6000742,0.4541814,0.4083303,0.558396,0.36370024,0.4885889,0.5802343,0.42952627,0.46579224,0.464756,0.44723296,0.6061183,0.6400594,0.44208053,0.49123192,0.50895715,0.40370363,0.52191174,0.51050675,0.4390172,0.5698049,0.6218761,0.47425297,0.5273663,0.48068887,0.6449374,0.5346739,0.5093311,0.42678446,0.5040481,0.5967133,0.5385334,0.57221705,0.4611355,0.6200287,0.57892156,0.4883318,0.4898409,0.48926616,0.49602032,0.5220181,0.48459506,0.4816882,0.47092763,0.49949226,0.607682,0.5840838,0.54711455,0.5823595,0.51476586,0.56360036,0.58095455,0.58969474,0.6114434,0.57200503,0.5478151,0.4357968,0.57852864,0.51628435,0.5329126,0.42142367,0.47070795,0.5854451,0.60110295,0.5565151,0.6090903,0.5566134,0.42451054,0.5792664,0.49986857,0.5510409,0.5587243,0.6541133,0.580979,0.41245243,0.41251755,0.6110199,0.5828049,0.59743255,0.54712903,0.43918625
